TaxonId,SwedishName,ScientificName,TLS_CITES,TLS_Bern,TLS_Bonn,TLS_FD1,TLS_Prio,TLS_Fridlyst,TLS_HD2,TLS_HD2P,TLS_HD4,TLS_HD5,TLS_IAS_Union_EU
223732,,Pilosella aurantiaca subsp. aurantiaca,,,,,,,,,,,
223757,,Pilosella officinarum subsp. officinarum,,,,,,,,,,,
223884,,Noccaea caerulescens subsp. caerulescens,,,,,,,,,,,
224194,,Galium aparine var. aparine,,,,,,,,,,,
224273,,Melampyrum pratense var. pratense,,,,,,,,,,,
224299,,Plantago lanceolata subsp. lanceolata,,,,,,,,,,,
224375,,Viola canina subsp. canina,,,,,,,,,,,
224422,,Malva alcea × moschata,,,,,,,,,,,
224494,,Nymphaea alba,,,,,,,,,,,
224666,,Carex nigra subsp. nigra,,,,,,,,,,,
224889,,Caltha palustris subsp. palustris,,,,,,,,,,,
224913,,Pulsatilla vulgaris subsp. vulgaris,,,,,,Ja,,,,,
225484,,Erpobdella octoculata,,,,,,,,,,,
225950,,Baetis rhodani,,,,,,,,,,,
225962,,Nigrobaetis niger,,,,,,,,,,,
225977,,Ephemera vulgata,,,,,,,,,,,
225983,,Heptagenia sulphurea,,,,,,,,,,,
226009,,Amphinemura borealis,,,,,,,,,,,
226011,,Amphinemura sulcicollis,,,,,,,,,,,
226013,,Brachyptera risi,,,,,,,,,,,
226023,,Isoperla grammatica,,,,,,,,,,,
226027,,Leuctra hippopus,,,,,,,,,,,
226028,,Leuctra nigra,,,,,,,,,,,
226031,,Nemoura cinerea,,,,,,,,,,,
226037,,Protonemura meyeri,,,,,,,,,,,
226264,,Stenodema laevigata,,,,,,,,,,,
226586,,Carpocoris purpureipennis,,,,,,,,,,,
228633,,Cladonia macilenta,,,,,,,,,,,
229369,,Microcalicium disseminatum,,,,,,,,,,,
229592,,Phlyctis argena,,,,,,,,,,,
229647,,Platismatia glauca,,,,,,,,,,,
230496,,Oniscus asellus,,,,,,,,,,,
232975,,Picea sitchensis,,,,,,,,,,,Ja
233257,,Lewinskya fastigiata,,,,,,,,,,,
233396,,Asellus aquaticus,,,,,,,,,,,
234207,,Anoplius viaticus,,,,,,,,,,,
234522,,Centrotus cornutus,,,,,,,,,,,
234704,,Cicadella viridis,,,,,,,,,,,
234998,,Panorpa communis,,,,,,,,,,,
240270,,Agathomyia wankowiczii,,,,,,,,,,,
244809,,Isotoma riparia,,,,,,,,,,,
244864,,Orchesella flavescens,,,,,,,,,,,
248558,,Obscuriphantes obscurus,,,,,,,,,,,
250411,,Graphocephala fennahi,,,,,,,,,,,Ja
253813,,Hericium cirrhatum,,,,,,,,,,,
259234,,Lophodermium seditiosum,,,,,,,,,,,
267127,,Galium palustre,,,,,,,,,,,
1001850,,Ithytrichia,,,,,,,,,,,
1001901,,Halesus,,,,,,,,,,,
1002296,,Rana,,,,,,,,,,,
1002857,,Oulimnius,,,,,,,,,,,
1005133,,Pisidium,,,,,,,,,,,
1005566,,Lysichiton,,,,,,,,,,,
1006385,,Alchemilla,,,,,,,,,,,
1006895,,Dicranota,,,,,,,,,,,
1006975,,Leptophlebia,,,,,,,,,,,
1006995,,Isoperla,,,,,,,,,,,
1006996,,Leuctra,,,,,,,,,,,
2000939,,Gerridae,,,,,,,,,,,
2001175,,Formicidae,,,,,,,,,,,
2001187,,Polycentropodidae,,,,,,,,,,,
2001194,,Limnephilidae,,,,,,,,,,,
2001300,,Simuliidae,,,,,,,,,,,
2001301,,Ceratopogonidae,,,,,,,,,,,
2001302,,Chironomidae,,,,,,,,,,,
2001850,,Hydrachnidae,,,,,,,,,,,
2002091,,Strigidae,,,,,,,,,,,
2002104,,Troglodytidae,,,,,,,,,,,
3000299,,Chiroptera,,,,,,,,,,,
4000051,,Clitellata,,,,,,,,,,,
6001673,,Urocystis trientalis,,,,,,,,,,,
6010576,,Sus scrofa,,,,,,,,,,,Ja
6032839,,Bryocentria brongniartii,,,,,,,,,,,
6326725,,Nyctalus/Cnephaeus/Vespertilio,,,,,,,,,,,
6331082,,Lewinskya affinis,,,,,,,,,,,
